id,split,domain,image_rel,mask_rel,source_sha256
loveda_train_rural_101,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/101.png,loveda_m2a/Train/Rural/masks_png/101.png,50ea55736355b2eeb6eff7b4489124ae57f898682fb52c264a5207e7f7d97906
loveda_train_rural_1010,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1010.png,loveda_m2a/Train/Rural/masks_png/1010.png,6b5b16e98136cc718623b4f95fe0a5c8ca6a0ffb5e6e8d12c3e5067a76155648
loveda_train_rural_1013,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1013.png,loveda_m2a/Train/Rural/masks_png/1013.png,63fca2b7b68a9c685d17122cf8caf61d5d0b5ef0722b987d21621c021cf70f35
loveda_train_rural_1014,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1014.png,loveda_m2a/Train/Rural/masks_png/1014.png,0563ca8f771bbbe7c84074630e4c228a9c119ed6ef5c2bdef5aa0b1854b4ce24
loveda_train_rural_1015,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1015.png,loveda_m2a/Train/Rural/masks_png/1015.png,f941f6bf1941a7c6f5a9c253e0cdf76f3de0475f7dd63ef7af38c5296005f7cb
loveda_train_rural_1016,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1016.png,loveda_m2a/Train/Rural/masks_png/1016.png,c4463208fa4fff312e7fbdac2b7f33196f3892defd72df1dcaa43c4086388f29
loveda_train_rural_1017,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1017.png,loveda_m2a/Train/Rural/masks_png/1017.png,0b189150cecc5a8ab0eb08164095b43eb5f189cd9ea3f35b1665b9fbe04cbd40
loveda_train_rural_1018,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1018.png,loveda_m2a/Train/Rural/masks_png/1018.png,28c46e593a23da9b47294366457b7086c892525491d713d6d7d589eeb54fe24c
loveda_train_rural_1019,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1019.png,loveda_m2a/Train/Rural/masks_png/1019.png,002518a1a037d9425ce3f18318b32691b5c7466eb7ba3a11f40ebb104ddfee87
loveda_train_rural_1020,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1020.png,loveda_m2a/Train/Rural/masks_png/1020.png,9497d1a38afbf0b80c2391bd8b5ba1c2da0ab7e53f4484e588d492832ea5ec61
loveda_train_rural_1022,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1022.png,loveda_m2a/Train/Rural/masks_png/1022.png,a41d9eb304a41f36f0ec502839f8adafb60a62c4cdca45c6893276390d8b0733
loveda_train_rural_1023,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1023.png,loveda_m2a/Train/Rural/masks_png/1023.png,89db37e12e88e4329196b61812553ae1468fb7cd1c1b94225d5c0fddbdc53e3c
loveda_train_rural_1024,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1024.png,loveda_m2a/Train/Rural/masks_png/1024.png,b5393673eb71e4ac6915f4d3de900ee4bcf15485b63db0062363e9e1bfa43894
loveda_train_rural_1025,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1025.png,loveda_m2a/Train/Rural/masks_png/1025.png,4206005a1492c12645eb8324372b32833c46cb1704c24a0b326f8afd0a3740c3
loveda_train_rural_1026,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1026.png,loveda_m2a/Train/Rural/masks_png/1026.png,68c6b685cc675431f150d085bb6408860a4187d2f990784ce273f4a495dd8038
loveda_train_rural_1027,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1027.png,loveda_m2a/Train/Rural/masks_png/1027.png,d3bc38d686beb44084f86e36b6c55ea33b9fdd69bf465c20f64c84a9f12a7ea3
loveda_train_rural_1028,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1028.png,loveda_m2a/Train/Rural/masks_png/1028.png,6ee8992d811229e0acc58da593fe8e31b1cdf51151aecd0837b88b847199c48a
loveda_train_rural_103,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/103.png,loveda_m2a/Train/Rural/masks_png/103.png,2ae4692bc1884d250a67ad08422bac1581ee2ae4f571c8891e314e7f61e7a5a9
loveda_train_rural_1030,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1030.png,loveda_m2a/Train/Rural/masks_png/1030.png,83ee3d12eb22ba710ea7dc224232f8359cd630e34be31a5d8d7b2dfea264fd98
loveda_train_rural_1031,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1031.png,loveda_m2a/Train/Rural/masks_png/1031.png,032010be4792f9a4172bf1d6f0fee4edabafe403bb22ccc7f4d691524ae21bbf
loveda_train_rural_1032,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1032.png,loveda_m2a/Train/Rural/masks_png/1032.png,564d3ed6c0dcaa3169c59fd941fd4cb4b5e5b1b051e9ad87990011b63a87fa6c
loveda_train_rural_1033,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1033.png,loveda_m2a/Train/Rural/masks_png/1033.png,f970e9160574743e185616db96964decebc2739e2fb90f7d04baa14b48e421e1
loveda_train_rural_1035,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1035.png,loveda_m2a/Train/Rural/masks_png/1035.png,d4266a1f70ec426c4c0ac350f7cd65c99222f7ac30d7b94226d90ec35328078c
loveda_train_rural_1038,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1038.png,loveda_m2a/Train/Rural/masks_png/1038.png,954740deb3e5f6f69d975bc7b38fe0ce0e366881915f9b84816286434010923a
loveda_train_rural_1039,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1039.png,loveda_m2a/Train/Rural/masks_png/1039.png,6c9cb87f156c43cfec078451d84b796a533eb05f9255765f40c9325b1d841e7b
loveda_train_rural_104,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/104.png,loveda_m2a/Train/Rural/masks_png/104.png,1a22d3c9860b342d523e6b9d4ff26cb979c5d10522d744d5ee4d80ae9ec60e57
loveda_train_rural_1041,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1041.png,loveda_m2a/Train/Rural/masks_png/1041.png,0ca4ca480747ae1960dfd35efddda8be4b1603b9a32f5ccb8ecef42b23df1d0e
loveda_train_rural_1042,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1042.png,loveda_m2a/Train/Rural/masks_png/1042.png,0e1d86673cfd6c59ad9ffeb94f17be3617ce75a360a29ab45e24be63a25acc8f
loveda_train_rural_1044,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1044.png,loveda_m2a/Train/Rural/masks_png/1044.png,9a22a5156767702fb1d527ee24f1b40463ffca38d2669f535a1fa747a4f07a5a
loveda_train_rural_1045,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1045.png,loveda_m2a/Train/Rural/masks_png/1045.png,3365085aedce66fe721247dce4539d2e1b5217e6a0c45b1031f0995069119fd3
loveda_train_rural_1046,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1046.png,loveda_m2a/Train/Rural/masks_png/1046.png,1a24287438fa13d3d372983b34572726c16aab575c6e3beed367b133ef373863
loveda_train_rural_1049,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1049.png,loveda_m2a/Train/Rural/masks_png/1049.png,22b688ea4fde42d7abba3388e5f72e0f4f86c2d74d913a36273159f6d13bb516
loveda_train_rural_105,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/105.png,loveda_m2a/Train/Rural/masks_png/105.png,84e4cf341237dd93168432d9f3460fd7013ab2bcbddc589066d5d709b487f961
loveda_train_rural_1050,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1050.png,loveda_m2a/Train/Rural/masks_png/1050.png,1925ced13b8af8a0775e65a984b487e72a7e613f1681755e11fac8ad1c579617
loveda_train_rural_1052,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1052.png,loveda_m2a/Train/Rural/masks_png/1052.png,55fe35b5b8da425ccba73a0c058a75a5f86f9c65e54c97dc849f0d2097026108
loveda_train_rural_1053,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1053.png,loveda_m2a/Train/Rural/masks_png/1053.png,109654a9ddb8fa1ddf293aa2c34d01121e111affda75c0d9b973d4fe8cea0d78
loveda_train_rural_1058,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1058.png,loveda_m2a/Train/Rural/masks_png/1058.png,92b55b4936f92635eb18cfe1a1c158544c32a1b5d7098783a1b299fd5c7d740b
loveda_train_rural_1059,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1059.png,loveda_m2a/Train/Rural/masks_png/1059.png,3f8726d3a9ad61548cb5a46217c5dab3f1813f9881b4720aa888338b15141897
loveda_train_rural_106,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/106.png,loveda_m2a/Train/Rural/masks_png/106.png,680c7192ab0cf2658131c3e1e3c9c3990bbef0674153337453f363c78752f138
loveda_train_rural_1062,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1062.png,loveda_m2a/Train/Rural/masks_png/1062.png,9565c37c85187f3329503d904b817a6a8565073ed3a85619047fc33769c346a4
loveda_train_rural_1063,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1063.png,loveda_m2a/Train/Rural/masks_png/1063.png,806fda5ba9ea117f5fe02ffde41b82d64efdcc04204f0c6c075e226b153175fd
loveda_train_rural_1065,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1065.png,loveda_m2a/Train/Rural/masks_png/1065.png,dbcae0b599a876a239ee499f1943c5110184cdc7031fb1fa8ec1d4c7c28f9d45
loveda_train_rural_1066,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1066.png,loveda_m2a/Train/Rural/masks_png/1066.png,2d0588374b2bfef6559e400a6304c9080726a7b22eb85cac2adc3c4402cb5b34
loveda_train_rural_1067,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1067.png,loveda_m2a/Train/Rural/masks_png/1067.png,bbfb795dca8f117b90e88a8cb35a2045dbfde0281ed3a8b5ca85d5dd3ce9351c
loveda_train_rural_1068,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1068.png,loveda_m2a/Train/Rural/masks_png/1068.png,98f72b22ad8b8991c1b6133e6a448de40697caf8cd64e2d4a2885756a5c43107
loveda_train_rural_1069,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1069.png,loveda_m2a/Train/Rural/masks_png/1069.png,7fcb052bbefd624b49530710196c679f4b7e804313bb513593270061458dbceb
loveda_train_rural_107,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/107.png,loveda_m2a/Train/Rural/masks_png/107.png,1041f06bb82abf51d0b900eaef22683218822f72d51f9d5bdcb31cf966e09856
loveda_train_rural_1071,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1071.png,loveda_m2a/Train/Rural/masks_png/1071.png,61efafafb07b2de285b65e7a7b9bfc561e8223f1cf8b3507663c7bd5278d9594
loveda_train_rural_1072,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1072.png,loveda_m2a/Train/Rural/masks_png/1072.png,199c5a13e22498391e7aa8f1afd099211d099db41fbb054c0161dd2364507a37
loveda_train_rural_1073,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1073.png,loveda_m2a/Train/Rural/masks_png/1073.png,5f8f081734b3656aa32cedaf622498f9f0a13fa7c3e8914d379ef84c6d176589
loveda_train_rural_1074,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1074.png,loveda_m2a/Train/Rural/masks_png/1074.png,84afea90080ab05d9c0e920472ab01e9563a803f3d439f4e95ea64fff4d854c0
loveda_train_rural_1076,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1076.png,loveda_m2a/Train/Rural/masks_png/1076.png,944b6f0c7031d63a473b2eaa0234cacb821c2d80a954647865f33ff5e86ae5ad
loveda_train_rural_1077,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1077.png,loveda_m2a/Train/Rural/masks_png/1077.png,b410da3dade435694dfb76175a2fcfa94a269db2bcfd065b5e96eeeab113f363
loveda_train_rural_1078,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1078.png,loveda_m2a/Train/Rural/masks_png/1078.png,ffe7054ec3dc52564fc132dbe6cf17d44813a44911eea3e1947f1a6254ea0dd0
loveda_train_rural_1079,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1079.png,loveda_m2a/Train/Rural/masks_png/1079.png,c198814b7edb1c6f4d0420f6ea3facde0655fa1b62d2ce2dabe39a6d3c4824f6
loveda_train_rural_1082,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1082.png,loveda_m2a/Train/Rural/masks_png/1082.png,7e19b3119f8bd610d7def185ecbb8d3f15145d67fa840a9173eb97591ca39887
loveda_train_rural_1083,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1083.png,loveda_m2a/Train/Rural/masks_png/1083.png,4d9cf424d7b7a715b563b5df97dabb3fad85128df60e8b16372e5f0268f44f8c
loveda_train_rural_1084,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1084.png,loveda_m2a/Train/Rural/masks_png/1084.png,a31862147ac304bfc0d49a52aac836ca86ac45a184083b875853d058987f25e8
loveda_train_rural_1085,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1085.png,loveda_m2a/Train/Rural/masks_png/1085.png,ddc504fa874353b45d739915533a809df2f35b8ac520981d7fe6a03a1f430f3e
loveda_train_rural_1086,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1086.png,loveda_m2a/Train/Rural/masks_png/1086.png,c28ed8580e958de4d71eed6de0507f7cde5ffaf71cba4aef30032d043a530d25
loveda_train_rural_1087,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1087.png,loveda_m2a/Train/Rural/masks_png/1087.png,049c26c039f45e99f15480f5c9263ac630900510548297eaee52819cdbc1aa87
loveda_train_rural_1088,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1088.png,loveda_m2a/Train/Rural/masks_png/1088.png,c641c1bab4bcc38b9f55fa6847c847a76e3f2ea45bea8893d25fda566148deeb
loveda_train_rural_1089,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1089.png,loveda_m2a/Train/Rural/masks_png/1089.png,af618f1eb3e84eb7813d60a24ace4d76df131934e97a8df7ac3dd64eede9c841
loveda_train_rural_109,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/109.png,loveda_m2a/Train/Rural/masks_png/109.png,2f0408729bf008f956f1f75078f0f00348489800034ba40170d789b4f7ada0c4
loveda_train_rural_1091,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1091.png,loveda_m2a/Train/Rural/masks_png/1091.png,39c4cd4e7ddcb7c5760beadf6ccb3403f5b9d4d3af6a3127eb2d6cda4f1a1957
loveda_train_rural_1092,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1092.png,loveda_m2a/Train/Rural/masks_png/1092.png,d4a44b93dc8667423013ec5b61824bf2bbf3470debb01d39b5a8980625895802
loveda_train_rural_1095,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1095.png,loveda_m2a/Train/Rural/masks_png/1095.png,5ef2173201d5bfbf475c63ccf9366e729810c85d5b93a5b004cbd8f5791b517b
loveda_train_rural_1096,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1096.png,loveda_m2a/Train/Rural/masks_png/1096.png,ba3b03e8127bbaadc51c2837d41261270d4906be3178295e7c4a963cd2954178
loveda_train_rural_1097,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1097.png,loveda_m2a/Train/Rural/masks_png/1097.png,d45875a71731dbf914a7ebd961e5ae86a0a538df084aaedc387924454efcdbf4
loveda_train_rural_1098,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1098.png,loveda_m2a/Train/Rural/masks_png/1098.png,33dd3385a64fe6e0fcfa96edd4876081cb01e11793e9477df491fd5d47cf182a
loveda_train_rural_11,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/11.png,loveda_m2a/Train/Rural/masks_png/11.png,e24ecd90eb2d0cb956ca62c80ccb8032ad9252d5867228a7ca2ed12899ff1222
loveda_train_rural_110,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/110.png,loveda_m2a/Train/Rural/masks_png/110.png,de779020a0ce23c7593dc0f5a60b8bfaf5a1d91bfc2d523db91eb14ad543980a
loveda_train_rural_1100,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1100.png,loveda_m2a/Train/Rural/masks_png/1100.png,26d9c38d4725ca41770d6536c3e641bddcbe4ea57c629e709e5b54d9680b2269
loveda_train_rural_1101,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1101.png,loveda_m2a/Train/Rural/masks_png/1101.png,acfca75f8fad76c408e240e5167a768bd5ebe52d421b9702150e7a1477687c0b
loveda_train_rural_1102,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1102.png,loveda_m2a/Train/Rural/masks_png/1102.png,c20c9996a173c51f5447219f2defbca2b0f1c63ba40f0ed21dd69fde5553f359
loveda_train_rural_1103,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1103.png,loveda_m2a/Train/Rural/masks_png/1103.png,ae91b6f817318a2c8aa2be9a75cfe1d41b568f7f9bb94ff4bc9ea32a835f52d4
loveda_train_rural_1104,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1104.png,loveda_m2a/Train/Rural/masks_png/1104.png,aaedf33c469c8a6eadb84cecf386d6068cc4abe27f1bd794a6e394f238360188
loveda_train_rural_1105,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1105.png,loveda_m2a/Train/Rural/masks_png/1105.png,b3b3e5db5ea5c0671e8372757b67639f3babe94d824597f316c77007bb59eac3
loveda_train_rural_1108,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1108.png,loveda_m2a/Train/Rural/masks_png/1108.png,91e94e75ecf46931959e62bf31bb0fb899d50bcf009e849ad0f30aa0d1b40ee5
loveda_train_rural_1109,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1109.png,loveda_m2a/Train/Rural/masks_png/1109.png,cc2a61a008a973751d0084bded3ca8cf7fa30728fa1e1a1afa1aaf6bc3476118
loveda_train_rural_111,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/111.png,loveda_m2a/Train/Rural/masks_png/111.png,1f77a54e0a564341a13f42dff7dc1e410bd36e5ffbff12850ba810f170f31dae
loveda_train_rural_1110,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1110.png,loveda_m2a/Train/Rural/masks_png/1110.png,64e04fe45f0bfa6953fdd8633a80cb8e2778699c0a87058e33d3e3044e68b242
loveda_train_rural_1111,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1111.png,loveda_m2a/Train/Rural/masks_png/1111.png,2d0fb0b674e8894d15df2c3fcb33b42bcf0fc214d07146eb8f9a09155ca3f775
loveda_train_rural_1113,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1113.png,loveda_m2a/Train/Rural/masks_png/1113.png,d7523da423c20f3af6d343c09635443320141f5b2f69537c9b314e105886b70a
loveda_train_rural_1115,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1115.png,loveda_m2a/Train/Rural/masks_png/1115.png,026688058618e908f24e3a1c010dde71ab94a48b1537309c5e26be7977644827
loveda_train_rural_1116,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1116.png,loveda_m2a/Train/Rural/masks_png/1116.png,e0dc52578b7397a1a26c91be88edb25d843f812a4505e9f1b763e1c1140118b0
loveda_train_rural_1117,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1117.png,loveda_m2a/Train/Rural/masks_png/1117.png,8440c320f00ba1e070c789434d6124a7f43188a1b2e25774677d5f78abafe92a
loveda_train_rural_1118,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1118.png,loveda_m2a/Train/Rural/masks_png/1118.png,bcbf2bc069892785c9c696d760b539c54885812b71eb51a7e87d31ca8144f0cb
loveda_train_rural_1119,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1119.png,loveda_m2a/Train/Rural/masks_png/1119.png,32f0867af52c40bd2a030942d4cddd723b5f3edba8a786af09b7618a09892bcf
loveda_train_rural_112,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/112.png,loveda_m2a/Train/Rural/masks_png/112.png,cc74fc34a3bcc622c6de3284fc0f4d077a7e136f027c3249ddf43e46c56ebdf5
loveda_train_rural_1120,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1120.png,loveda_m2a/Train/Rural/masks_png/1120.png,16e1cc94a6945d3f6d3e2fb0f6b6e562383f85ee5ad5a6c310a1bcbc07e9d3e1
loveda_train_rural_1121,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1121.png,loveda_m2a/Train/Rural/masks_png/1121.png,2cb1de6d10d7acf15f818c58821da346ade7fcfa9763c9634024fd91c7a49296
loveda_train_rural_1122,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1122.png,loveda_m2a/Train/Rural/masks_png/1122.png,5a6133877465591590028cbd19c64e595521f6f68c6a4dd6a94533e4baf713b5
loveda_train_rural_1123,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1123.png,loveda_m2a/Train/Rural/masks_png/1123.png,d13aafc321a0e66802d34cbc5ca5a8859b83b8c09fc7b7b47aaf2d2ca892d901
loveda_train_rural_1124,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1124.png,loveda_m2a/Train/Rural/masks_png/1124.png,c8c2ae6814d8017e70e05c2c0bbd2dea4d2901008b9746284ada2f7e92a9926e
loveda_train_rural_1125,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1125.png,loveda_m2a/Train/Rural/masks_png/1125.png,3d7e5a8817253a3f91cc469163d8c61a47fde89b111742f1d9a1911d1bfa43fa
loveda_train_rural_1126,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1126.png,loveda_m2a/Train/Rural/masks_png/1126.png,24ea616bfd4eaa97370388400f1589cdd7ff9e41e95a2c84db7621b9603a0e3d
loveda_train_rural_1127,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1127.png,loveda_m2a/Train/Rural/masks_png/1127.png,2ff62c0602cde10433d14ce9220cb13e088f14cff94133077a05f3df58539cf5
loveda_train_rural_1128,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1128.png,loveda_m2a/Train/Rural/masks_png/1128.png,ba792c961b39ac89ad33d082a2752510f847fc6d210d2ccf174a320ecc7c58d0
loveda_train_rural_1129,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1129.png,loveda_m2a/Train/Rural/masks_png/1129.png,23fabd2ec9c89a8e014566887d79ff624590296128d42435abb641eff863b000
loveda_train_rural_113,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/113.png,loveda_m2a/Train/Rural/masks_png/113.png,2e6e98e8a99401b3dcd316c4dcb96acfbdf5229e070fd6fa330b07bac99dbcdb
loveda_train_rural_1130,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1130.png,loveda_m2a/Train/Rural/masks_png/1130.png,4f6a328a99b3b9da5d1b196fd7f75489046e2609983978e4d5c049079991c856
loveda_train_rural_1131,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1131.png,loveda_m2a/Train/Rural/masks_png/1131.png,68f8a70990f5d87c1dc23ec41c4e8bf103b2aa568279bb7b651c8b1449e54d86
loveda_train_rural_1132,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1132.png,loveda_m2a/Train/Rural/masks_png/1132.png,e416a19633eb647863bc1d3585980958cb4c94e5392cd4a32cd3b91406b90b47
loveda_train_rural_1133,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1133.png,loveda_m2a/Train/Rural/masks_png/1133.png,2b15da49f444864f0c9a48292a424842d154da3430000d727ff144af9d0026af
loveda_train_rural_1134,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1134.png,loveda_m2a/Train/Rural/masks_png/1134.png,158efd883331fd7cd6257e732bf1dfadb343b97ecc6b22a6bef11901f4532822
loveda_train_rural_1135,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1135.png,loveda_m2a/Train/Rural/masks_png/1135.png,6bab46930702d64397ed6151a91beb2ad6f656ceec9213650cbf73da47d4ae99
loveda_train_rural_1136,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1136.png,loveda_m2a/Train/Rural/masks_png/1136.png,d02fe7eb7156a2c6c51eb92f5e668c0a4aa7eb701b63eb060909ae2421147a92
loveda_train_rural_1137,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1137.png,loveda_m2a/Train/Rural/masks_png/1137.png,f2e051b8f09aa44d8bda3787b8e01250a3f4a6e475e9e7a53d9427484eea741d
loveda_train_rural_1138,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1138.png,loveda_m2a/Train/Rural/masks_png/1138.png,7c5a1f467be22d8df89069ad36088f4d5786783bbfa88cc5cae5e03bce5dc9b1
loveda_train_rural_1140,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1140.png,loveda_m2a/Train/Rural/masks_png/1140.png,4ce87bf1a78f7ed00ce62f32ab42fa3aa164d205938f143f60879eba6ef27761
